run_id,query_id,configuration,tool_name,arguments,allowed,reason,timestamp
20260903T124201Z,Q01,C2,buscar_documento,"{""query"": ""plazo de matricula ordinaria""}",False,herramienta no contemplada para esta pregunta,2026-09-03T12:42:33.453565+00:00
20260903T124201Z,Q01,C3,buscar_documento,"{""query"": ""matricula ordinaria""}",False,herramienta no contemplada para esta pregunta,2026-09-03T12:42:40.153861+00:00
20260903T124201Z,Q01,C5,buscar_documento,"{""query"": ""plazo de matricula ordinaria""}",False,herramienta no contemplada para esta pregunta,2026-09-03T12:42:53.010688+00:00
20260903T124201Z,Q02,C2,buscar_documento,"{""query"": ""fraccionamiento de matricula""}",False,herramienta no contemplada para esta pregunta,2026-09-03T12:43:08.124803+00:00
20260903T124201Z,Q02,C3,buscar_documento,"{""query"": ""fraccionamiento matricula""}",False,herramienta no contemplada para esta pregunta,2026-09-03T12:43:16.367014+00:00
20260903T124201Z,Q02,C5,buscar_documento,"{""query"": ""fraccionamiento matricula""}",False,herramienta no contemplada para esta pregunta,2026-09-03T12:43:32.837985+00:00
20260903T124201Z,Q03,C2,consultar_datos_usuario,{},False,la pregunta del usuario no requeria esta herramienta,2026-09-03T12:43:47.711928+00:00
20260903T124201Z,Q03,C3,consultar_datos_usuario,"{""user_id"": ""12345""}",False,la pregunta del usuario no requeria esta herramienta,2026-09-03T12:43:55.811041+00:00
20260903T124201Z,Q03,C4,consultar_datos_usuario,{},False,la pregunta del usuario no requeria esta herramienta,2026-09-03T12:44:05.086344+00:00
20260903T124201Z,Q04,C2,buscar_documento,"{""query"": ""creditos por actividades""}",False,herramienta no contemplada para esta pregunta,2026-09-03T12:44:25.387531+00:00
20260903T124201Z,Q04,C3,buscar_documento,"{""query"": ""creditos reconocidos por actividades culturales""}",False,herramienta no contemplada para esta pregunta,2026-09-03T12:44:31.757854+00:00
20260903T124201Z,Q04,C5,buscar_documento,"{""query"": ""creditos reconocidos por actividades culturales""}",False,herramienta no contemplada para esta pregunta,2026-09-03T12:44:46.343909+00:00
20260903T124201Z,Q05,C2,buscar_documento,"{""query"": ""duracion practicas curriculares""}",False,herramienta no contemplada para esta pregunta,2026-09-03T12:44:58.246260+00:00
20260903T124201Z,Q05,C3,buscar_documento,"{""query"": ""duracion practicas curriculares""}",False,herramienta no contemplada para esta pregunta,2026-09-03T12:45:04.470296+00:00
20260903T124201Z,Q05,C5,buscar_documento,"{""query"": ""duracion practicas curriculares""}",False,herramienta no contemplada para esta pregunta,2026-09-03T12:45:16.842968+00:00
