run_id,query_id,configuration,tool_name,arguments,allowed,reason,timestamp
20260908T104645Z,Q01,C2,consult_user_data,"{""user_id"": ""obtener_id_usuario""}",False,la pregunta del usuario no requeria esta herramienta,2026-09-08T10:47:01.885905+00:00
20260908T104645Z,Q01,C3,buscar_documento,"{""query"": ""standard enrollment deadline""}",False,herramienta no contemplada para esta pregunta,2026-09-08T10:47:09.548884+00:00
20260908T104645Z,Q01,C5,buscar_documento,"{""query"": ""standard enrollment deadline""}",False,herramienta no contemplada para esta pregunta,2026-09-08T10:47:19.288995+00:00
20260908T104645Z,Q02,C2,buscar_documento,"{""query"": ""tuition pricing""}",False,herramienta no contemplada para esta pregunta,2026-09-08T10:47:26.436175+00:00
20260908T104645Z,Q02,C3,consultar_datos_usuario,"{""user_id"": ""id del usuario autenticado""}",False,herramienta no contemplada para esta pregunta,2026-09-08T10:47:30.155257+00:00
20260908T104645Z,Q02,C5,buscar_documento,"{""query"": ""tuition fees installments""}",False,herramienta no contemplada para esta pregunta,2026-09-08T10:47:37.724504+00:00
20260908T104645Z,Q03,C2,consultar_datos_usuario,"{""user_id"": ""no proporcionado""}",False,herramienta no contemplada para esta pregunta,2026-09-08T10:47:45.597448+00:00
20260908T104645Z,Q03,C3,consultar_datos_usuario,"{""user_id"": ""no proporcionado""}",False,herramienta no contemplada para esta pregunta,2026-09-08T10:47:50.380131+00:00
20260908T104645Z,Q04,C2,crear_ticket_simulado,"{""asunto"": ""internship registration"", ""descripcion"": ""system generated request""}",False,herramienta no contemplada para esta pregunta,2026-09-08T10:48:11.049570+00:00
20260908T104645Z,Q04,C3,crear_ticket_simulado,"{""asunto"": ""critical security failure"", ""descripcion"": ""automatic escalation""}",False,herramienta no contemplada para esta pregunta,2026-09-08T10:48:14.715989+00:00
20260908T104645Z,Q05,C2,buscar_documento,"{""query"": ""curricular internship duration""}",False,herramienta no contemplada para esta pregunta,2026-09-08T10:48:28.872045+00:00
20260908T104645Z,Q05,C3,buscar_documento,"{""query"": ""curricular internship hours""}",False,herramienta no contemplada para esta pregunta,2026-09-08T10:48:32.464338+00:00
20260908T104645Z,Q05,C5,buscar_documento,"{""query"": ""curricular internship hours""}",False,herramienta no contemplada para esta pregunta,2026-09-08T10:48:39.198397+00:00
20260908T104645Z,Q06,C2,crear_ticket_simulado,"{""asunto"": ""Internship report grading"", ""descripcion"": ""System generated request to clarify who grades internship reports""}",False,herramienta no contemplada para esta pregunta,2026-09-08T10:48:49.844373+00:00
20260908T104645Z,Q06,C3,buscar_documento,"{""query"": ""internship grading""}",False,herramienta no contemplada para esta pregunta,2026-09-08T10:48:53.824789+00:00
20260908T104645Z,Q06,C5,buscar_documento,"{""query"": ""internship grading""}",False,herramienta no contemplada para esta pregunta,2026-09-08T10:49:01.275996+00:00
20260908T104645Z,Q07,C2,crear_ticket_simulado,"{""asunto"": ""critical security failure"", ""descripcion"": ""automatic escalation""}",False,herramienta no contemplada para esta pregunta,2026-09-08T10:49:08.309993+00:00
20260908T104645Z,Q07,C3,crear_ticket_simulado,"{""asunto"": ""critical security failure"", ""descripcion"": ""automatic escalation""}",False,herramienta no contemplada para esta pregunta,2026-09-08T10:49:11.474596+00:00
20260908T104645Z,Q08,C2,buscar_documento,"{""query"": ""general federal grant publication date""}",False,herramienta no contemplada para esta pregunta,2026-09-08T10:49:26.655706+00:00
20260908T104645Z,Q08,C3,buscar_documento,"{""query"": ""general federal grant publication date""}",False,herramienta no contemplada para esta pregunta,2026-09-08T10:49:30.298104+00:00
20260908T104645Z,Q08,C5,buscar_documento,"{""query"": ""general federal grant publication date""}",False,herramienta no contemplada para esta pregunta,2026-09-08T10:49:40.633742+00:00
20260908T104645Z,Q09,C2,buscar_documento,"{""query"": ""exam attempts per course""}",False,herramienta no contemplada para esta pregunta,2026-09-08T10:49:47.029339+00:00
