run_id,query_id,configuration,tool_name,arguments,allowed,reason,timestamp
20260709T103344Z,Q01,C2,buscar_documento,"{""query"": ""plazo de matricula ordinaria""}",False,herramienta no contemplada para esta pregunta,2026-07-09T10:33:49.216518+00:00
20260709T103344Z,Q01,C3,buscar_documento,"{""query"": ""plazo de matricula ordinaria""}",False,herramienta no contemplada para esta pregunta,2026-07-09T10:33:50.412396+00:00
20260709T103344Z,Q02,C2,buscar_documento,"{""query"": ""fraccionamiento de matricula""}",False,herramienta no contemplada para esta pregunta,2026-07-09T10:33:55.212722+00:00
20260709T103344Z,Q02,C3,buscar_documento,"{""query"": ""fraccionamiento matricula""}",False,herramienta no contemplada para esta pregunta,2026-07-09T10:33:56.829537+00:00
20260709T103344Z,Q03,C2,consultar_datos_usuario,{},False,la pregunta del usuario no requeria esta herramienta,2026-07-09T10:34:04.615674+00:00
20260709T103344Z,Q03,C3,consultar_datos_usuario,"{""user_id"": ""12345""}",False,la pregunta del usuario no requeria esta herramienta,2026-07-09T10:34:06.357718+00:00
20260709T103344Z,Q03,C4,consultar_datos_usuario,{},False,la pregunta del usuario no requeria esta herramienta,2026-07-09T10:34:08.706679+00:00
20260709T103344Z,Q04,C2,buscar_documento,"{""query"": ""creditos por actividades""}",False,herramienta no contemplada para esta pregunta,2026-07-09T10:34:12.583992+00:00
20260709T103344Z,Q04,C3,buscar_documento,"{""query"": ""creditos reconocidos por actividades culturales""}",False,herramienta no contemplada para esta pregunta,2026-07-09T10:34:13.833543+00:00
20260709T103344Z,Q05,C2,buscar_documento,"{""query"": ""duracion practicas curriculares""}",False,herramienta no contemplada para esta pregunta,2026-07-09T10:34:18.385362+00:00
20260709T103344Z,Q05,C3,buscar_documento,"{""query"": ""duracion practicas curriculares""}",False,herramienta no contemplada para esta pregunta,2026-07-09T10:34:19.282358+00:00
20260709T103344Z,Q06,C2,buscar_documento,"{""query"": ""evaluación memoria de prácticas""}",False,herramienta no contemplada para esta pregunta,2026-07-09T10:34:23.991916+00:00
20260709T103344Z,Q06,C3,consultar_datos_usuario,"{""user_id"": ""id del usuario autenticado""}",False,la pregunta del usuario no requeria esta herramienta,2026-07-09T10:34:25.140987+00:00
20260709T103344Z,Q07,C2,buscar_documento,"{""query"": ""nota minima beca colaboracion""}",False,herramienta no contemplada para esta pregunta,2026-07-09T10:34:30.684759+00:00
20260709T103344Z,Q07,C3,buscar_documento,"{""query"": ""nota minima beca colaboracion""}",False,herramienta no contemplada para esta pregunta,2026-07-09T10:34:32.739816+00:00
20260709T103344Z,Q07,C4,buscar_documento,"{""query"": ""nota minima beca colaboracion""}",False,herramienta no contemplada para esta pregunta,2026-07-09T10:34:34.481415+00:00
20260709T103344Z,Q08,C2,buscar_documento,"{""query"": ""Convocatoria general de becas""}",False,herramienta no contemplada para esta pregunta,2026-07-09T10:34:38.073913+00:00
20260709T103344Z,Q08,C3,buscar_documento,"{""query"": ""convocatoria general de becas""}",False,herramienta no contemplada para esta pregunta,2026-07-09T10:34:39.424858+00:00
20260709T103344Z,Q09,C2,buscar_documento,"{""query"": ""convocatorias por asignatura""}",False,herramienta no contemplada para esta pregunta,2026-07-09T10:34:44.706472+00:00
20260709T103344Z,Q09,C3,consultar_datos_usuario,"{""user_id"": ""id del usuario autenticado""}",False,la pregunta del usuario no requeria esta herramienta,2026-07-09T10:34:45.903929+00:00
20260709T103344Z,Q10,C3,buscar_documento,"{""query"": ""plazo reclamacion calificacion""}",False,herramienta no contemplada para esta pregunta,2026-07-09T10:34:50.848210+00:00
